sheet_row,section,de,name,remark,source_column,status,suggested_column,confidence,area,reason,current_row_line
523,Wäärwe än latj krååm,Nordwarft,Noordweerw,,Oudere noome,deleted_row,nordgoes,high,nordgoes,duplicate sheet row; the list keeps line 541; place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,541
555,Wäärwe än latj krååm,Ockenswarf,Okensweerf,,Oudere noome,lost_by_script,hallig,high,hallig,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from hint Hooge,526
558,Wäärwe än latj krååm,Ockelützwarft,Okelutsweerf,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,529
559,Wäärwe än latj krååm,Volkertswarft,Folkertsweerf,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,530
560,Wäärwe än latj krååm,Westerwarft,Wästerweerf,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; å/ä/ö/ü→Mooring; long-vowel doubling; area from OSM match,531
561,Wäärwe än latj krååm,Lorenzwarft,Lorensweerf,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,532
597,Wäärwe än latj krååm,Norderwarft,Noorderweerf,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,566
797,Wååder,Elbe,di Ialew,halifreesk,Oudere noome,lost_by_script,hallig,high,unknown,"drop_older_column.py: dropped as an alternative Mooring spelling; remark ""halifreesk""; oa/ea/ia→Halunder/Hallig/Fering",758
471,"Hålie, ailönje än sönje",Nordmarsch,de Meersk,,Oudere noome,lost_by_script,hallig,medium,hallig,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the hallig area; article de→Hallig/Fering; long-vowel doubling; area from neighbouring rows,448
504,Wäärwe än latj krååm,Peterhaitzwarf,Paderhoitsweerw,,Mooring,deleted_variant,hallig,medium,hallig,place lies in the hallig area; -wäärw→Mooring; å/ä/ö/ü→Mooring; area from OSM match,476
514,Wäärwe än latj krååm,Halgehus,e Holge,Hålge,Mooring,deleted_variant,mooring,medium,mooring,"remark ""Hålge""; place lies in the hallig area; article e→Mooring; area from neighbouring rows",486
516,Wäärwe än latj krååm,Hilligenley,Hiangelaisweerw,Halifreesk,Oudere noome,deleted_variant,hallig,medium,hallig,"remark ""Halifreesk""; the hallig column already holds ""Hiangelai"" -- this would be a further variant; -weerw/-weerf→Hallig/Harde; long-vowel doubling; oa/ea/ia→Halunder/Hallig/Fering; area from OSM match",488
518,Wäärwe än latj krååm,Kirchhofswarf,Schorkeweerw,,Oudere noome,deleted_variant,hallig,medium,hallig,"place lies in the hallig area; the hallig column already holds ""Meersk-Schorkeweerw""; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match",490
536,Wäärwe än latj krååm,Bollhaus,Bolhus,halifreesk,Oudere noome,deleted_variant,hallig,medium,mooring,"remark ""halifreesk""; note: the area lookup says mooring; area from OSM match",506
478,"Hålie, ailönje än sönje",Lütt Moor; Nordstrandischmoor,Lidj Möör,,Oudere noome,deleted_variant,hallig,low,hallig,"place lies in the hallig area; the hallig column already holds ""Lidj Muur""; å/ä/ö/ü→Mooring; long-vowel doubling; area from OSM match",455
480,"Hålie, ailönje än sönje",Süderoog,Saaruuch,,Oudere noome,deleted_variant,hallig,low,hallig,"place lies in the hallig area; the hallig column already holds ""Saruug""; long-vowel doubling; area from OSM match",457
481,"Hålie, ailönje än sönje",Südfall,Süürfåål,,Oudere noome,deleted_variant,suedgoes,low,hallig,"place lies in the hallig area; the hallig column already holds ""Sufaol""; å/ä/ö/ü→Mooring; area from OSM match",458
617,Wäärwe än latj krååm,Süderdeich,Sürdik,Kårhiirdinge,Oudere noome,deleted_variant,karrhard,high,nordgoes,"remark ""Kårhiirdinge""; note: the area lookup says nordgoes (unproven); å/ä/ö/ü→Mooring; area from OSM name lookup",586
100,Steeden än doorpe (implicit),Gaarde,Guarde,,Oudere noome,lost_by_script,karrhard,medium,karrhard,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the karrhard area and the form is not the Mooring one; oa/ea/ia→Halunder/Hallig/Fering; area from OSM match,102
114,Steeden än doorpe (implicit),Lütjenhorn,Lätjenhoarn,,Oudere noome,lost_by_script,karrhard,medium,karrhard,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the karrhard area and the form is not the Mooring one; oa/ea/ia→Halunder/Hallig/Fering; area from OSM match,116
684,Wäärwe än latj krååm,Rantzauhöhe,Wiarkshuuch,,Oudere noome,deleted_variant,karrhard,medium,karrhard,place lies in the karrhard area and the form is not the Mooring one; long-vowel doubling; oa/ea/ia→Halunder/Hallig/Fering; area from OSM name lookup,653
89,Steeden än doorpe (implicit),Klixbüll,Kläksbel,Kårhiirdinge,Oudere noome,deleted_variant,karrhard,medium,karrhard,"remark ""Kårhiirdinge""; the karrhard column already holds ""Kläsbel"" -- this would be a further variant; å/ä/ö/ü→Mooring; area from OSM match",91
107,Steeden än doorpe (implicit),Engerheide,de Hii,,Oudere noome,lost_by_script,karrhard,low,karrhard,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the karrhard area; form could be the local Harde spelling; article de→Hallig/Fering; long-vowel doubling; area from neighbouring rows,109
