Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Aphüsem,Äphüsem (Kårhiirdinge),,,Uphusum,,,,,
Sänebel,Säänebel,sänebelinge,säänebelinge,Sönnebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Bräist,Bräidstäär (wisinge),bräistinge,"bräistinger, bräistäänge, bräislinge (Nordergooshiirdinge)",Bredstedt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen, Peter Jensen Di Muon fuon e Halie"
Fåålst,Faalst,fåålstinge,fåålstäänge,Vollstedt,,,,,
Golbäk,,,,Goldebek,,,,,
,Gelün (Gälün?),,,Goldelund,,,,,
Jåålönj,Jalün (Gooshiirder),,jalüner (Gooshiirdinge),Joldelund,,,,,
Huugelönj,Huugelün,,,Hogelund,,Højlund,,,
Riderup,"Riserup, Rääderup, Rööderup (Gooshiirdinge)",ridringe,röödringe (Gooshiirdinge),Riddorf,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Brääklem,,brääkleme,brääklinge,Breklum,,,,Brekeling,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Buursbel,Borsbel,buursblinge,,Borsbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Wålsbel,"Wåålsbel, Waalsbel (Gooshiirder?)",wålsblinge,,Wallsbüll (bei Bredstedt),,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Toorpshii,,,,Dorfheide,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Treelstoorp,"Trelstrup, Trölstrup",treelstoorpinge,"trölstringe, trölstrupinge, trelsb(ü)linge",Drelsdorf,,Trelstorp / Trelstrup,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Marie Tånageberg 2021, Sååge än Tääle"
Kolkerhii,,,,Kolkerheide,,,,,
Jöömst,,jöömstinge,jöömstinger,Löwenstedt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Brook,,,,Brook,,,,,
Hååselönj?,"Hååselün, Haaselün",,,Haselund,,,,,
Feeshoulem,,,,Fehsholm,,,,,
Strükem,,strükeme,"strükemer, strükb(e)linge",Struckum,,,,,
Aalmtoorp (Åålmtoorp?),,,,Almdorf,,,,,
Bååmst,,bååmstinge,bååmstinger,Bohmstedt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hååks,,,,Haaks,,,,,
Norst,Noorst,norstinge,noorstinge,Norstedt,,,,,
Spänkebel,,spänkebelinge,,Spinkebüll,,,,,
Fjåål,,,,Viöl,,Fjolde,,,
Huuchfjåål,,,,Hochviöl,,,,,
,Kraagelün,,,Kragelund,,,,,
,Bokslün,,,Boxlund,,Bokslund,,,
,Hukstrup,,,Hoxtrup,,,,,
Bjarntoorp,,,,Behrendorf,,,,,
Bonlem,,,,Bondelum,,,,,
Salwit,,,,Sollwitt,,Solved,,,
Puubel,,puublinge,,Pobüll,,Pobøl / Påbøl,,,
Ornshood?,Oornshaud,,oornshauner,Ahrenshöft,,,,,
Alwat (Ålwåt?),,,,Arlewatt,,,,,
Åldrop,,,,Olderup,,,,,
Ämst,Emst,ämstinge,emstinge,Immenstedt,,,,,
Årnfjål,,,,Ahrenviöl,,,,,
Uurst,,uurstinge,,Ohrstedt,,,,,
Ååster Uurst,,,,Oster-Ohrstedt,,,,,
Weester Uurst,,,,Wester-Ohrstedt,,,,,
Bakenshult,,,,Backensholz,,,,,
Brämsborj,Bremsborj,,,Bremsburg,,,,,
Eelemänning,,,,Elemenning,,Alminding,,,
Älerbel,,,,Ellerbüll,,,,,
Heerstem,,,,Herstum,,,,,
Håtstinge Mjarsch,Håtstäänger Mjarsch,,,Hattstedter Marsch,,,,,
,Lunberich (Goeshiirdinge),,,Lundenberg,,,,,
Buunelönj,Buanenlöön (Gooshiirdinge),,,Bohnenland,,,,,
Wååbel,,wååblinge,,Wobbenbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Håtst,"Hååtst, Haatst (Gooshiirdinge)",håtstinge,håtstäänger,Hattstedt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Hoorst,,hoorstinge,,Horstedt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Schööbel,,schööblinge,,Schobüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hälbel,,hälblinge,härblinge (Gooshiirdinge),Halebüll,,,,,
Hukensbel,,hukensbelinge,,Hockensbüll,,,,,
,e Lün,,,Lund,,,,,
Kilsborj,,,,Kielsburg,,,,,
Hüsem,,hüsemer,,Husum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Moose,,moosebelinge,,Maas (bei Husum),,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Rööms,,,,Rödemis,,,,,
Augsborj,,,,Augsburg (bei Husum),,,,,
Swiising,Swiasing,,,Schwesing,,Svesing,,,
Iipernstää?,,,,Ipernstedt,,,,,
Råntrem,Rånterem,,,Rantrum,,,,,
,e Wäsk,,,Wisch,,Visk,,,
,Heme,,,Hemme,,,,,
Mälst,,mälstinge,,Mildstedt,,,,,
Ååstenfälj,Aastenfäil,,,Ostenfeld,,,,,
Winert,,,,Winnert,,,,,
Outrem,,,,Autrum,,,,,
Swåbstää,,,,Schwabstedt,,Svavsted,,,
,Ramstää,,,Ramstedt,,,,,
Huude,,,,Hude,,,,,
Seet,,,,Seeth,,Sæd,,,
Draage,,,,Drage,,,,,
Freederjstää,Fräärstää,fräärstäänge,freederjstäänge,Friedrichstadt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Koolnbütel,,,,Koldenbüttel,,,,,
Taning,,,,Tönning,,Tønning,,,
Kotsenbel,,,,Kotzenbüll,,,,,
Hülk,,,,Hülk,,,,,
Haablek,,,,Harblek,,,,,
Gunsbütel,,,,Gunsbüttel,,,,,
Borsthüsem,,,,Borsthusem,,,,,
Kloijarn?,Kloiheern,,,Kleihörn,,,,,
Kååting,,,,Kating,,,,,
Katriinenheerd,,,,Katharinenheerd,,,,,
Huuchbuum,,,,Hochbohm,,,,,
Folerwik,,,,Vollerwiek,,Follervig,,,
Wäljt?,Wäilt,,,Welt,,,,,
Hülkenbel,,,,Hülkenbüll,,,,,
Gaarding,Gaarn,,,Garding,,,,,
Schöspel Gaarding,,,,"Garding, Kirchspiel",,,,,
Krim,,,,Krimm,,,,,
Hääwereeker,,,,Haferacker,,,,,
Bröösem,,,,Brösum (St.-Peter),,,,,
Laikenhüsem,,,,Leikenhusen,,,,,
Lookert,,,,Lokert,,,,,
Popenbel,,,,Poppenbüll,,,,,
Siimensbärj,Siimensbeeri,,,Simonsberg,,,,,
Tååting,,,,Tating,,,,,
Teedenbel,,,,Tetenbüll,,,,,
Ülwesbel,,,,Uelvesbüll,,,,,
Widswort,,,,Witzwort,,,,,
,,,,,,,,,
Oodebel,,,,Odenbüll,,,,,
Kiifhuk,,,,Kiefshuck,,,,,
Norderhuuwen,Noorderhuuwen,,,Norderhafen,,,,,
,Süürhuuwen,,,Süderhafen,,,,,
,Ängloun,,,England (Nordstrand),,,,,
,Moorsem,,,Morsum (Nordstrand),,,,,
,,,,,,,,,
,,,,,,,,,
